word tf idf tf-idf
шуваловой 1.9281196976708315e-05 1.7442929831226763 3.363205659267847e-05
баба 1.9281196976708315e-05 1.7442929831226763 3.363205659267847e-05
сторона 5.7843590930124944e-05 2.0453229787866576 0.00011830882570492004
ползать 1.9281196976708315e-05 2.0453229787866576 3.943627523497335e-05
черный 0.00085801326546352 2.0453229787866576 0.001754914247956314
синий 0.00017353077279037482 1.7442929831226763 0.00030268850933410626
стремление 3.856239395341663e-05 2.0453229787866576 7.88725504699467e-05
анапа 2.8921795465062472e-05 2.0453229787866576 5.915441285246002e-05
ïîòåðÿëàñü 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
адаптировать 5.7843590930124944e-05 1.443262987458695 8.348351385115081e-05
особенно 0.00023137436372049977 1.443262987458695 0.00033393405540460325
лошадь 0.00027957735616227056 1.7442929831226763 0.00048766482059383785
беспечний 1.9281196976708315e-05 1.7442929831226763 3.363205659267847e-05
телеофна 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
parrotslab 1.9281196976708315e-05 1.7442929831226763 3.363205659267847e-05
сервис 8.676538639518741e-05 2.0453229787866576 0.00017746323855738006
ïàðîëü 3.856239395341663e-05 1.443262987458695 5.56556759007672e-05
уют 6.74841894184791e-05 2.0453229787866576 0.00013802696332240673
подъем 1.9281196976708315e-05 2.0453229787866576 3.943627523497335e-05
турецкий 9.640598488354157e-05 2.0453229787866576 0.00019718137617486672
зарплатить 1.9281196976708315e-05 1.7442929831226763 3.363205659267847e-05
телевидение 1.9281196976708315e-05 1.7442929831226763 3.363205659267847e-05
услуга 0.0004434675304642912 1.7442929831226763 0.0007735373016316048
ðµð½ðºð¾ð² 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
слово 0.000183171371278729 2.0453229787866576 0.0003746446147322468
супер 0.00011568718186024989 1.7442929831226763 0.00020179233955607085
стандарт 0.0002506555606972081 1.7442929831226763 0.00043721673570482013
стационар 0.00012532778034860404 1.1422329917947138 0.00014315352550257673
перепалка 1.9281196976708315e-05 1.7442929831226763 3.363205659267847e-05
заинтересовывать 3.856239395341663e-05 2.0453229787866576 7.88725504699467e-05
потребность 5.7843590930124944e-05 1.7442929831226763 0.00010089616977803543
скалолаз 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
отметина 1.9281196976708315e-05 1.7442929831226763 3.363205659267847e-05
справочник 5.7843590930124944e-05 1.7442929831226763 0.00010089616977803543
процесс 0.00017353077279037482 1.7442929831226763 0.00030268850933410626
одесса 2.8921795465062472e-05 2.0453229787866576 5.915441285246002e-05
right 1.9281196976708315e-05 2.0453229787866576 3.943627523497335e-05
using 6.74841894184791e-05 2.0453229787866576 0.00013802696332240673
полар 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
rss 0.00012532778034860404 2.0453229787866576 0.00025633578902732677
01 0.0004338269319759371 1.3463529744506386 0.0005840841802625977
… 0.0023715872281351224 0.3463529744506387 0.000821406290633745
когтедерко 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
09 0.0004434675304642912 2.0453229787866576 0.0009070343304043869
дровяной 0.00010604658337189573 1.0039302936284324 0.00010646337758283933
рекомендация 0.00023137436372049977 1.7442929831226763 0.0004035846791121417
наиболее 0.00015424957581366652 2.0453229787866576 0.0003154902018797868
окт 4.820299244177078e-05 1.7442929831226763 8.408014148169619e-05
кошкаоцикетбританский 1.9281196976708315e-05 1.7442929831226763 3.363205659267847e-05
повернулисить 1.9281196976708315e-05 1.7442929831226763 3.363205659267847e-05
популярный 0.0005977171062779578 2.0453229787866576 0.0012225245322841738
т 0.00021209316674379147 2.0453229787866576 0.00043379902758470683
пачка 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
заботиться 7.712478790683326e-05 2.0453229787866576 0.0001577451009398934
мистеркун 1.9281196976708315e-05 1.7442929831226763 3.363205659267847e-05
ветеринар 0.00030849915162733303 1.7442929831226763 0.0005381129054828556
9999px 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
длинный 0.00014460897732531235 1.443262987458695 0.000208708784627877
конфіденційності 1.9281196976708315e-05 1.7442929831226763 3.363205659267847e-05
линза 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
motivators 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
девочка 0.0007519666820916242 2.0453229787866576 0.0015380147341639604
заселяться 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
паблик 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
хвост 0.000183171371278729 2.0453229787866576 0.0003746446147322468
квалификация 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
ухо 0.00027957735616227056 1.7442929831226763 0.00048766482059383785
паддингтон 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
таяние 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
çàáàâû 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
ребенок 0.0011375906216257905 0.7029002979644512 0.0007996127869023334
грациозный 8.676538639518741e-05 2.0453229787866576 0.00017746323855738006
êîìïüþòåðíóþ 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
создавать 0.0003277803486040413 2.0453229787866576 0.0006704166789945469
белый 0.0003277803486040413 2.0453229787866576 0.0006704166789945469
давать 0.0005880765077896035 1.7442929831226763 0.0010257777260766934
образовываться 1.9281196976708315e-05 2.0453229787866576 3.943627523497335e-05
пардон 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
действие 0.00014460897732531235 2.0453229787866576 0.0002957720642623001
талантливый 2.8921795465062472e-05 2.0453229787866576 5.915441285246002e-05
определять 0.00034706154558074965 1.7442929831226763 0.0006053770186682125
читать 0.0014942927656948944 2.0453229787866576 0.0030563113307104342
статья 0.0013593243868579362 1.7442929831226763 0.0023710599897838326
определенный 0.00014460897732531235 2.0453229787866576 0.0002957720642623001
малышка 9.640598488354157e-05 2.0453229787866576 0.00019718137617486672
генератор 1.9281196976708315e-05 2.0453229787866576 3.943627523497335e-05
дремать 1.9281196976708315e-05 1.7442929831226763 3.363205659267847e-05
театр 0.000183171371278729 1.2671717284030137 0.00023210958313721715
игривый 0.00012532778034860404 1.7442929831226763 0.00021860836785241006
главный 0.0007808884775566867 2.0453229787866576 0.0015971691470164204
2215 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
25 0.0005398735153478328 2.0453229787866576 0.0011042157065792538
посвящать 0.00010604658337189573 1.443262987458695 0.0001530531087271098
архів 1.9281196976708315e-05 1.7442929831226763 3.363205659267847e-05
201930 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
åñëè 0.0002506555606972081 1.7442929831226763 0.00043721673570482013
аккордион 1.9281196976708315e-05 1.7442929831226763 3.363205659267847e-05
урок 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
пугаться 1.9281196976708315e-05 2.0453229787866576 3.943627523497335e-05
ñàéòà 0.0002988585531389789 1.7442929831226763 0.0005212968771865163
èíôîðìàöèè 9.640598488354157e-05 1.2671717284030137 0.00012216293849327218
беззащитный 2.8921795465062472e-05 2.0453229787866576 5.915441285246002e-05
человеческий 8.676538639518741e-05 2.0453229787866576 0.00017746323855738006
древний 0.0002024525682554373 1.7442929831226763 0.000353136594223124
h 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
